1306243442 0
1306253894 52841
1306257800 52847
1306303503 56274
1306356310 56554
1306396151 56837
1306444131 57698
1306476535 57871
1306842423 58329
1306934622 58509
1307968867 58515
1308270731 59152
1308271367 59152
1308609613 59167
1308635301 59308
1308642271 59313
1308690122 59476
1308747188 60178
1309462650 61469
1309553318 61669
1309955737 61944
1310369903 62222
1310370476 62236
1310442225 62322
1310504795 62395
1310536295 62552
1310583826 62583
1310625127 62770
1310710813 62855
1310763930 63007
1310975396 63725
1311023078 63893
1311079244 64186
1311109465 64251
1311169143 64325
