1306243442 0
1306253894 52841
1306257800 52838
1306303503 10405
1306356310 10555
1306396151 10690
1306444131 11146
1306476535 11127
1306842423 11502
1306934622 11653
1307968867 11654
1308270731 12189
1308271367 8305
1308609613 8305
1308635301 8321
1308642271 8320
1308690122 7388
1308747188 7998
1309462650 2976
1309553318 2967
1309955737 2897
1310369903 2882
1310370476 2881
1310442225 2894
1310504795 2902
1310536295 2996
1310583826 2997
1310625127 2964
1310710813 2972
1310763930 3068
1310975396 3376
1311023078 3445
1311079244 3544
1311109465 3523
1311169143 3545
